ID,Name,Service,Cadre,Allotment_Year,Date_of_Birth,Date_of_Joining,Source_of_Recruitment,Gender,Place_of_Domicile,Mother_Tongue,Languages_Known,Retired,Retirement_Reason,Source,Last_Education_Qualification,Last_Education_Subject,Last_Education_Division,Last_Designation,Last_Level,Last_Office,Last_Organisation,Last_Field_of_Experience,Last_Category_of_Experience,Last_Start_Date,Last_End_Date
BH034307,Dr. M P Shukla,Indian Administrative Services,Bihar,1982,1933-29-9,1982-07-01,By Promotion from State Civil Service,Male,Bihar,Hindi,English Hindi,True,Superannuated,Supremo,Ph. D.,Economics,Ordinary,Director,Junior Scale,N.A.,Cadre (AIS),Education,Human Resource Dev,1988-1-12,1989-1-6
BH034305,Shri Sm Singh,Indian Administrative Services,Bihar,1982,1934-26-12,1982-07-01,By Promotion from State Civil Service,Male,Bihar,Hindi,English,True,Superannuated,Supremo,P.G.,History,Second,N.A.,Junior Scale,N.A.,Cadre (AIS),Economic Affairs,Finance,1974-1-1,1977-1-1
AM018007,Shri T Budkma,Indian Administrative Services,Assam Meghalya,1982,1932-1-10,1982-07-01,By Promotion from State Civil Service,Male,Meghalaya,N.A.,English Hindi Khasi,True,Superannuated,Supremo,Graduate,N.A.,Ordinary,Under Secy,Junior Scale,N.A.,Cadre (AIS),Home,Home,1972-1-6,1973-1-1
BH034304,Shri Sk Sinha,Indian Administrative Services,Bihar,1982,1932-3-11,1982-07-01,By Promotion from State Civil Service,Male,Bihar,Hindi,English,True,Superannuated,Supremo,P.G.,Commerce,Second,S D M,Junior Scale,N.A.,Cadre (AIS),Sub Divisional Admn,Land Revenue Mgmt & District Admn,1972-1-6,1973-1-8
BH034303,Shri B Sahai,Indian Administrative Services,Bihar,1982,1932-1-5,1982-07-01,By Promotion from State Civil Service,Male,Bihar,Hindi,Bengali English Sanskrit Urdu,True,Retired after Extension/Re-Employment,Supremo,P.G.,Economics,Second,N.A.,Junior Scale,N.A.,Cadre (AIS),Panchayati Raj,Local Self Govt,1973-1-10,1976-1-5
BH034302,Shri Sadanand Sinha,Indian Administrative Services,Bihar,1982,1933-11-7,1982-07-01,By Promotion from State Civil Service,Male,Bihar,Hindi,English,True,Superannuated,Supremo,P.G.,Economics,Second,N.A.,Junior Scale,N.A.,Cadre (AIS),Development Admn,Land Revenue Mgmt & District Admn,1973-1-9,1976-1-7
AP030304,Shri M K Swamy,Indian Administrative Services,Andhra Pradesh,1982,1939-15-10,1982-07-01,By Promotion from State Civil Service,Male,Andhra Pradesh,Telugu,English Telugu,True,Superannuated,Supremo,P.G.,Economics,Second,N.A.,Junior Scale,N.A.,Cadre (AIS),Finance,Finance,1978-1-12,1982-1-1
AP030303,Shri D Janardhan Rao,Indian Administrative Services,Andhra Pradesh,1982,1936-25-10,1982-07-01,By Promotion from State Civil Service,Male,Andhra Pradesh,Telugu,French German Hindi Marathi,True,Superannuated,Supremo,P.G.,Public Admn,Second,District Supply Officer,Junior Scale,N.A.,Cadre (AIS),Commerce,Commerce,1976-1-7,1976-1-12
BH034301,Shri Yb Prasad,Indian Administrative Services,Bihar,1982,1933-20-1,1982-07-01,By Promotion from State Civil Service,Male,Bihar,Hindi,Bengali English,True,Superannuated,Supremo,Graduate,Political Sc.,Ordinary,N.A.,Junior Scale,N.A.,Cadre (AIS),Development Admn,Land Revenue Mgmt & District Admn,1973-1-8,1976-1-2
AP030300,Shri B Kamal Kumar Pargi,Indian Administrative Services,Andhra Pradesh,1982,1952-10-11,1982-09-01,Direct Recruitment,Male,Gujarat,Gujarati,English Hindi Sanskrit Telugu,True,Superannuated,Supremo,Graduate,English Lit,Third,Project Officer,Under Secretary,N.A.,Cadre (AIS),Area Development,Agriculture & Cooperation,1988-1-7,1991-1-1
AP029800,Shri M Nagarjuna,Indian Administrative Services,Andhra Pradesh,1982,1955-12-12,1982-07-01,Direct Recruitment,Male,Andhra Pradesh,Telugu,English Hindi,True,Expired,Supremo,Graduate,Engineeriing,First,Sub Collector,Junior Scale,N.A.,Cadre (AIS),Sub Divisional Admn,Land Revenue Mgmt & District Admn,1985-1-7,1987-1-5
AM018011,Shri Nila Nath Barua,Indian Administrative Services,Assam Meghalya,1982,1936-1-4,1982-07-01,By Promotion from State Civil Service,Male,Assam,Assamese,Bengali English,True,Superannuated,Supremo,P.G.,Mathematics,Second,Deputy Secretary,Junior Scale,N.A.,Cadre (AIS),Commerce,Commerce,1972-1-12,1977-1-10
AM018010,Shri Rk Borua,Indian Administrative Services,Assam Meghalya,1982,1938-1-3,1982-07-01,By Promotion from State Civil Service,Male,Assam,Assamese,English Hindi,True,Superannuated,Supremo,P.G.,Commerce,Third,Secretary,Under Secretary,N.A.,Cadre (AIS),Power,Energy,1982-1-7,1986-1-7
AM018009,Shri Hk Mazhari,Indian Administrative Services,Assam Meghalya,1982,1943-22-9,1982-07-01,By Promotion from State Civil Service,Male,Bihar,Urdu,English Hindi Persian,True,Superannuated,Supremo,P.G.,Urban Planning,Not Awarded,Director,Junior Scale,N.A.,Cadre (AIS),Urban Develoment,Urban Development,1982-1-9,1986-1-1
AP030302,Shri Kr Mohan Rao,Indian Administrative Services,Andhra Pradesh,1982,1932-21-7,1982-07-01,By Promotion from State Civil Service,Male,Andhra Pradesh,Telugu,English Hindi,True,Expired,Supremo,N.A.,N.A.,Ordinary,Revenue Divisional Officer,Junior Scale,N.A.,Cadre (AIS),Revenue Admn,Land Revenue Mgmt & District Admn,1976-1-4,1978-1-6
BH034306,Shri Nb Sinha,Indian Administrative Services,Bihar,1982,1935-1-6,1982-07-01,By Promotion from State Civil Service,Male,Bihar,Hindi,English,True,Superannuated,Supremo,P.G.,History,Second,N.A.,Junior Scale,N.A.,Cadre (AIS),Industries,Industries,1968-1-7,1972-1-11
UD052500,Shri Chanchal Kumar Tewari,Indian Administrative Service,Uttarakhand,1983,1959-3-1,1983-08-29,Direct Recruitment,Male,Uttar Pradesh,Hindi,English,True,Superannuated,Supremo,P.G.,Botany,First,Chairman,Joint Secretary,Civil Supplies Corpn.,N.A.,Handlooms,Textiles,2002-6-1,2019-02-28
TG030800,Shri Mukkamala G Gopal,Indian Administrative Service,Telangana,1983,1957-2-2,1983-06-09,Direct Recruitment,Male,Andhra Pradesh,Telugu,English Hindi,True,Superannuated,Supremo,PG Diploma,Management,First,Executive Officer,Additional Secretary,Tirupati,N.A.,Social Justice & Empowerment,Social Justice & Empowerment,2013-7-2,N.A.
TG030700,Shri Shekhar Prasad Singh,Indian Administrative Service,Telangana,1983,1958-1-7,1983-08-30,Direct Recruitment,Male,Bihar,Hindi,Bengali English Telugu,True,Superannuated,Supremo,P.G.,Political Sc.,First,Chief Secy,Not Available,Hyderabad,N.A.,General Administration,Personnel and General Administration,2016-12-31,N.A.
TG031100,Shri Vinod Kumar Agrawal,Indian Administrative Service,Telangana,1983,1957-2-9,1983-08-29,Direct Recruitment,Male,Andhra Pradesh,Hindi,English Gujarati Marathi Telugu,True,Superannuated,Supremo,M.B.A.,Business Admn.,First,Principal Secy,Additional Secretary,Revenue Deptt,N.A.,Registration,Finance,2012-9-11,N.A.
TG031701,Ms. Ranjeev R Acharya,Indian Administrative Service,Telangana,1983,1958-10-19,1983-09-29,Direct Recruitment,Female,Punjab,Punjabi,English Hindi Urdu,True,Superannuated,Supremo,P.G.,Political Sc.,First,Agril Production Commissioner & Principal Secy ( ARIAS),Additional Secretary,N.A.,N.A.,Agriculture,Agriculture & Cooperation,2013-08-28,2018-10-31
UD052300,Ms. Anjali Prasad,Indian Administrative Service,Uttarakhand,1983,1957-5-3,1983-08-29,Direct Recruitment,Female,Uttar Pradesh,Hindi,English Hindi,True,Superannuated,Supremo,P.G.,Economics,First,Ambassador,Secretary Equivalent,M/o External Affairs,N.A.,N.A.,N.A.,2016-8-2,2017-05-31
TN028400,Shri N S Palaniappan,Indian Administrative Service,Tamil Nadu,1983,1956-6-4,1983-08-29,Direct Recruitment,Male,Tamil Nadu,Tamil,English Hindi,True,Superannuated,Supremo,P.G.,Economics,First,Principal Secy,Additional Secretary,Rural Dev & Panchayati Raj Deptt,N.A.,Panchayati Raj,Local Self Govt,2013-10-9,N.A.
UD053100,Shri Shatrughna Singh,Indian Administrative Service,Uttarakhand,1983,1956-12-28,1983-08-29,Direct Recruitment,Male,Bihar,Hindi,English,True,Retired voluntarily,Supremo,P.G.,Economics,Ordinary,N.A.,Additional Secretary,N.A.,N.A.,N.A.,N.Applicable,2015-10-21,2016-11-18
UD053900,Shri S Raju,Indian Administrative Service,Uttarakhand,1983,1956-03-23,1983-08-30,Direct Recruitment,Male,Tamil Nadu,Tamil,Hindi,True,Superannuated,Supremo,P.G.,Business Admn.,Ordinary,Principal Secy,Additional Secretary,Social Welfare Deptt,N.A.,Social Welfare,Social Justice & Empowerment,2010-9-7,N.A.
TN028200,Shri Ambuj Sharma,Indian Administrative Service,Tamil Nadu,1983,1958-12-15,1983-09-30,Direct Recruitment,Male,Uttar Pradesh,Hindi,English Tamil,True,Superannuated,Supremo,P.G.,Rural Dev,-,Additional Chief Secy & Director,Secretary Equivalent,Industries and Commerce Deptt.,N.A.,Industrial Dev,Industries,2016-2-4,2018-12-31
TN028300,Shri Braj Kishore Prasad,Indian Administrative Service,Tamil Nadu,1983,1956-05-20,1983-08-29,Direct Recruitment,Male,Bihar,Hindi,English,True,Re-Employed,Supremo,P.G.,Botany,First,Member Secy,Secretary Equivalent,M/o Social Justice & Empowerment,N.A.,N.A.,N.A.,2016-8-1,2018-07-31
UP054101,Shri Atul Bagai,Indian Administrative Service,Uttar Pradesh,1983,1959-3-5,1983-08-29,Direct Recruitment,Male,Delhi,Hindi,English French,True,Deemed Resigned,Supremo,P.G.,History,First,Regional Officer,Director,U.N. Environment Programme (UNEP),N.A.,N.A.,N.Applicable,2000-7-12,2019-03-31
RJ023900,Shri Purushottam Aggarwal,Indian Administrative Services,Rajasthan,1983,1954-7-11,1983-09-01,Direct Recruitment,Male,West Bengal,Hindi,Bengali English,True,Superannuated,Supremo,M.B.A. (UK),Business Admn.,Ordinary,S D O,Junior Scale,N.A.,Cadre (AIS),Sub Divisional Admn,Land Revenue Mgmt & District Admn,1985-1-8,1987-1-7
UD052600,Shri Bhagwati Prasad Pandey,Indian Administrative Service,Uttarakhand,1983,1957-3-6,1983-01-09,Direct Recruitment,Male,Uttar Pradesh,Hindi,English,True,Superannuated,Supremo,P.G.,Botany,First,Spl Secy,Secretary Equivalent,M/o Power,N.A.,Power,Energy,2016-07-29,2017-03-31
UP054000,Shri Harbhajan Singh,Indian Administrative Service,Uttar Pradesh,1983,1955-11-23,1983-08-29,Direct Recruitment,Male,Haryana,Punjabi,English Hindi,True,Superannuated,Supremo,P.G.,History,Second,DG,Additional Secretary Equivalent,M/o Commerce & Industry,N.A.,Commerce,Commerce,2013-12-1,2015-11-30
WB028200,Shri Basudeb Banerjee,Indian Administrative Service,West Bengal,1983,1957-6-7,1983-09-13,Direct Recruitment,Male,West Bengal,Bengali,English Hindi,True,Superannuated,Supremo,P.G.,Economics,First,Chief Secy,Secretary,West Bengal,N.A.,General Administration,Personnel and General Administration,2015-12-30,2017-06-30
UP053400,Shri Biresh Kumar,Indian Administrative Service,Uttar Pradesh,1983,1957-01-19,1983-08-29,Direct Recruitment,Male,Bihar,Hindi,English,True,Superannuated,Supremo,LL.B.,Law,Second,Principal Secy,Additional Secretary,Commercial Taxes Deptt,N.A.,Commercial Taxes,Finance,2012-4-3,N.A.
WB029022,Shri Rn Chakrabarty,Indian Administrative Service,West Bengal,1983,1942-8-1,1900-01-07,By Promotion from State Civil Service,Male,-,-,English,True,Expired,Supremo,Graduate,N.A.,Ordinary,Jt Secy,Deputy Secretary,N.A.,N.A.,Minorities Welfare,Social Justice & Empowerment,1996-8-1,1997-05-18
WB029100,Shri Balbir Ram,Indian Administrative Service,West Bengal,1983,1950-02-15,1983-08-29,Direct Recruitment,Male,Haryana,Hindi,English Punjabi,True,Superannuated,Supremo,Graduate,Political Sc.,Third,Land Reforms Commissioner,Additional Secretary,Land & Land Reforms Deptt,N.A.,Land Reforms,Land Revenue Mgmt & District Admn,2009-7-6,2010-02-28
WB034211,Shri Mk Bhowmik,Indian Administrative Service,West Bengal,1983,1939-01-21,1993-09-03,By Selection,Male,West Bengal,-,N.A.,True,Superannuated,Supremo,N.A.,N.A.,N.A.,N.A.,Deputy Secretary,N.A.,N.A.,N.A.,N.Applicable,1993-3-1,1997-01-31
RJ024200,Ms. Anjana Bhushan,Indian Administrative Services,Rajasthan,1983,1960-26-6,1983-07-01,Direct Recruitment,Female,Uttar Pradesh,Hindi,English French,True,Resigned,Supremo,P.G.,English,First,Assistant Collector,Junior Scale,N.A.,Cadre (AIS),Sub Divisional Admn,Land Revenue Mgmt & District Admn,1985-1-8,1986-1-9
WB028300,Shri Atanu Purkayastha,Indian Administrative Service,West Bengal,1983,1956-3-1,1983-08-29,Direct Recruitment,Male,Uttar Pradesh,Bengali,English Hindi,True,Superannuated,Supremo,Ph. D.,Social Sciences,-,Secretary,Secretary Equivalent,"M/o Personnel, Public Grievances & Pensions",N.A.,General Administration,Personnel and General Administration,2015-9-7,2016-02-29
WB028400,Shri Raghvendra Singh,Indian Administrative Service,West Bengal,1983,1959-06-21,1983-08-29,Direct Recruitment,Male,-,Hindi,English,True,Re-Employed,Supremo,P.G.,History,First,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.
WB028500,Shri Siddharth,Indian Administrative Service,West Bengal,1983,1955-11-20,1983-08-29,Direct Recruitment,Male,Rajasthan,Hindi,English,True,Superannuated,Supremo,P.G.,History,First,Principal Adviser,Not Available,Commerce & Industries Deptt,N.A.,Commerce,Commerce,2016-11-30,2017-11-30
UP053600,Shri Arun Kumar Sinha,Indian Administrative Service,Uttar Pradesh,1983,1957-05-14,1983-08-29,Direct Recruitment,Male,Bihar,Hindi,English,True,Superannuated,Supremo,M.Tech.,Water R Dev,First,Additional Chief Secretary to Government,Secretary,Health &family welfare Deptt.,N.A.,Health & Family Welfare,Health & Family Welfare,2016-8-8,2017-05-31
WB028700,Shri Bhaskar Khulbe,Indian Administrative Service,West Bengal,1983,1959-03-20,1983-08-29,Direct Recruitment,Male,Uttar Pradesh,Hindi,Bengali English Hindi,True,Re-Employed,Supremo,P.G.,Social Planning,Ordinary,Adviser,Secretary Equivalent,P M O,N.A.,General Administration,Personnel and General Administration,2020-02-21,2022-02-20
WB029200,Shri Madan Lal Meena,Indian Administrative Service,West Bengal,1983,1957-03-14,1983-08-29,Direct Recruitment,Male,Rajasthan,Hindi,Bengali English,True,Superannuated,Supremo,P.G.,History,First,DG,Additional Secretary Equivalent,M/o Rural Dev,N.A.,Rural Development,Rural Dev,2015-5-6,2017-03-31
UP052200,Shri Rajeev Kapoor,Indian Administrative Service,Uttar Pradesh,1983,1958-12-5,1983-08-29,Direct Recruitment,Male,Uttar Pradesh,Hindi,English,True,Superannuated,Supremo,PG Diploma,Business Mgt,First,Secretary,Secretary,M/o Chemicals & Fertilizers,N.A.,Chemicals & Petro-Chemicals,Chemicals & Fertilizers,2017-06-23,2018-02-15
UP052400,Dr. Hari Raj Kishore,Indian Administrative Service,Uttar Pradesh,1983,1959-03-22,1983-08-29,Direct Recruitment,Male,Uttar Pradesh,Hindi,English,True,Expired,Supremo,M.Sc.,Physics,First,Secretary,Joint Secretary,Finance Deptt,N.A.,Finance,Finance,2007-10-9,2009-11-24
UP052700,Shri Rahul Prasad Bhatnagar,Indian Administrative Service,Uttar Pradesh,1983,1959-09-24,1983-08-29,Direct Recruitment,Male,Delhi,Hindi,English German,True,Superannuated,Supremo,P.G.,Physics,First,Secretary,Secretary,M/o Panchayati Raj,N.A.,N.A.,N.Applicable,2019-2-8,2019-09-30
UP052800,Shri Raj Pratap Singh,Indian Administrative Service,Uttar Pradesh,1983,1958-7-9,1983-08-29,Direct Recruitment,Male,Bihar,Hindi,English,True,Superannuated,Supremo,P.G.,Electronics,First,N.A.,Joint Secretary,N.A.,N.A.,N.A.,N.Applicable,2014-12-1,2018-07-31
UP053000,Shri Sanjiv Saran,Indian Administrative Service,Uttar Pradesh,1983,1959-11-16,1983-08-29,Direct Recruitment,Male,Uttar Pradesh,Hindi,English,True,Superannuated,Supremo,P.G.,Management,First,Director,Joint Secretary,Culture Deptt,N.A.,Cultural Affairs,Culture,2013-3-6,2019-11-30
UP053200,Shri Sada Kant,Indian Administrative Service,Uttar Pradesh,1983,1958-1-5,1983-10-29,Direct Recruitment,Male,Uttar Pradesh,Hindi,English Sanskrit,True,Superannuated,Supremo,Ph. D.,Zoology,-,N.A.,Joint Secretary,Uttar Pradesh,N.A.,N.A.,N.Applicable,2011-07-21,2018-01-31
WB028800,Shri Chanchal Mal Bachhawat,Indian Administrative Service,West Bengal,1983,1958-6-7,1983-08-29,Direct Recruitment,Male,Rajasthan,Hindi,English,True,Retired voluntarily,Supremo,M.Phil.,Economic Dev.,Ordinary,Secretary,Secretary,Consumer Affairs Deptt,N.A.,Consumer Affairs,"Consumer Affairs, Food & PD",2016-6-3,2016-8-2
RJ024401,Shri Tapesh Pawar,Indian Administrative Services,Rajasthan,1983,1954-20-8,1983-09-01,Direct Recruitment,Male,Rajasthan,Hindi,N.A.,True,Superannuated,Supremo,P.G.,Economics,Second,Project Dir,Under Secretary,N.A.,Cadre (AIS),Rural Development,Rural Dev,1987-8-9,1989-7-3
AM018801,Shri Pc Borthakar,Indian Administrative Services,Assam Meghalya,1983,1934-1-4,1983-07-01,By Promotion from State Civil Service,Male,Assam,Assamese,Bengali English Hindi,True,Superannuated,Supremo,P.G.,Economics,Third,Deputy Secretary,Junior Scale,N.A.,Cadre (AIS),Printing & Publications,Information & Broadcasting,1975-1-8,1977-1-5
RJ024600,Shri Manohar Kant Kalohia,Indian Administrative Services,Rajasthan,1983,1953-25-11,1983-09-02,Direct Recruitment,Male,Punjab,Punjabi,English Hindi,True,Superannuated,Supremo,P.G.,Town Planning,First,Additional Collector,Under Secretary,Bikaner,Cadre (AIS),District Admn,Land Revenue Mgmt & District Admn,1987-23-9,1988-30-12
AM018810,Ms. Mr Mawlong,Indian Administrative Services,Assam Meghalya,1983,1938-5-11,1983-07-01,By Promotion from State Civil Service,Female,Meghalaya,Khasi,English,True,Superannuated,Supremo,Graduate,English,First,Deputy Secretary,Junior Scale,N.A.,Cadre (AIS),Education,Human Resource Dev,1979-1-7,1980-1-7
AM018811,Shri Pk Bhuyan,Indian Administrative Services,Assam Meghalya,1983,1934-1-3,1983-07-01,By Promotion from State Civil Service,Male,Assam,Assamese,Bengali English Hindi,True,Superannuated,Supremo,P.G.,English Lit,Ordinary,Managing Director,Junior Scale,N.A.,Cadre (AIS),Corporate Management (New),Corporate Management (New),1978-1-7,1979-1-7
AM018812,Shri Bn Das,Indian Administrative Services,Assam Meghalya,1983,1935-1-4,1983-07-01,By Promotion from State Civil Service,Male,Assam,Assamese,Bengali English Hindi,True,Superannuated,Supremo,P.G.,History,Third,Director,Junior Scale,N.A.,Cadre (AIS),Finance,Finance,1983-1-2,1986-1-3
AM018814,Shri Kc Das,Indian Administrative Services,Assam Meghalya,1983,1934-1-4,1983-07-01,By Promotion from State Civil Service,Male,Assam,Assamese,Bengali English Hindi,True,Superannuated,Supremo,P.G.,Physiology,Second,N.A.,Junior Scale,N.A.,Cadre (AIS),Khadi & Village Industries,Industries,1979-1-5,1981-1-10
AM018815,Shri Lk Barua,Indian Administrative Services,Assam Meghalya,1983,1938-1-7,1983-07-01,By Promotion from State Civil Service,Male,Assam,Assamese,Bengali English Hindi,True,Superannuated,Supremo,P.G.,English Lit,Second,Deputy Secretary,Junior Scale,N.A.,Cadre (AIS),Personnel Mgmt,Personnel and General Administration,1981-1-10,1986-1-3
AM018816,Shri Jn Sharma,Indian Administrative Services,Assam Meghalya,1983,1936-1-3,1983-07-01,By Promotion from State Civil Service,Male,Assam,Assamese,Bengali English Hindi,True,Superannuated,Supremo,Graduate,Statistics,Third,N.A.,Junior Scale,N.A.,Cadre (AIS),Personnel Mgmt,Personnel and General Administration,1979-1-5,1980-1-1
AM018817,Shri Hira Lal Gagoi,Indian Administrative Services,Assam Meghalya,1983,1937-1-3,1983-07-01,By Promotion from State Civil Service,Male,Assam,Assamese,Bengali English Hindi Mizo,True,Superannuated,Supremo,Graduate,Economics,Second,Deputy Secretary,Junior Scale,N.A.,Cadre (AIS),Finance,Finance,1979-1-3,1982-1-6
AM018809,Shri Wr Laitflang,Indian Administrative Services,Assam Meghalya,1983,1933-1-9,1983-07-01,By Promotion from State Civil Service,Male,Meghalaya,Khasi,English,True,Superannuated,Supremo,N.A.,N.A.,Ordinary,Director,Under Secretary,N.A.,Cadre (AIS),Land Reforms,Land Revenue Mgmt & District Admn,1989-1-9,1991-1-8
AM018818,Shri Bn Borah,Indian Administrative Services,Assam Meghalya,1983,1935-1-3,1983-07-01,By Promotion from State Civil Service,Male,Assam,Assamese,Bengali English Hindi,True,Superannuated,Supremo,P.G.,Economics,Ordinary,N.A.,Junior Scale,N.A.,Cadre (AIS),Public Distribution,"Consumer Affairs, Food & PD",1982-1-8,1983-1-7
AM018820,Shri Db Chhetry,Indian Administrative Services,Assam Meghalya,1983,1940-1-5,1983-07-01,By Promotion from State Civil Service,Male,Assam,Nepalese,Assamese Bengali English Hindi,True,Superannuated,Supremo,P.G.,Economics,Second,Additional Deputy Commissioner,Junior Scale,N.A.,Cadre (AIS),District Admn,Land Revenue Mgmt & District Admn,1978-1-4,1983-1-12
AM018821,Dr. Shyam B Medhi,Indian Administrative Services,Assam Meghalya,1983,1940-1-1,1983-07-01,By Promotion from State Civil Service,Male,Assam,Assamese,Bengali Hindi,True,Superannuated,Supremo,Ph. D.,Economics,Ordinary,Jt Director,Junior Scale,N.A.,Cadre (AIS),Personnel Training,Personnel and General Administration,1979-1-7,1982-1-7
AM018822,Shri Niranjan Ghosh,Indian Administrative Services,Assam Meghalya,1983,1939-1-6,1990-01-01,By Promotion from State Civil Service,Male,Assam,N.A.,English,True,Superannuated,Supremo,N.A.,N.A.,N.A.,N.A.,Deputy Secretary,N.A.,Cadre (AIS),N.A.,N.Applicable,1993-1-9,1997-31-5
AM018823,Shri Dc Pathak,Indian Administrative Services,Assam Meghalya,1983,1938-1-4,1989-11-07,By Promotion from State Civil Service,Male,Assam,Assamese,Bengali English Hindi,True,Superannuated,Supremo,N.A.,N.A.,N.A.,Deputy Secretary,Junior Scale,N.A.,Cadre (AIS),Health & Family Welfare,Health & Family Welfare,1978-1-1,1983-1-6
AM018826,Shri Nc Barooah,Indian Administrative Services,Assam Meghalya,1983,1941-1-6,1989-11-07,By Promotion from State Civil Service,Male,Assam,Assamese,Bengali English Hindi,True,Superannuated,Supremo,P.G.,Economics,Second,Additional Deputy Commissioner,Junior Scale,N.A.,Cadre (AIS),District Admn,Land Revenue Mgmt & District Admn,1978-1-8,1981-1-8
AM903500,Shri Abdul Malik,Indian Administrative Services,Assam Meghalya,1983,1937-1-5,1989-11-07,By Promotion from State Civil Service,Male,Assam,Bengali,Assamese English Hindi Urdu,True,Superannuated,Supremo,Graduate,Philosophy,Second,Secretary,Junior Scale,N.A.,Cadre (AIS),Development Admn,Land Revenue Mgmt & District Admn,1980-1-10,1983-1-10
AP031400,Shri Randeep Sudan,Indian Administrative Services,Andhra Pradesh,1983,1959-5-8,1983-08-29,Direct Recruitment,Male,Delhi,Punjabi,English Hindi,True,Retired voluntarily,Supremo,P.G.,Social Pol&planning -uk,First,Sub Collector,Junior Scale,N.A.,Cadre (AIS),Sub Divisional Admn,Land Revenue Mgmt & District Admn,1986-1-3,1987-1-7
AM018819,Shri Tafazul Hussain,Indian Administrative Services,Assam Meghalya,1983,1935-1-9,1983-07-01,By Promotion from State Civil Service,Male,Assam,Assamese,Bengali Hindi Oriya Urdu,True,Superannuated,Supremo,Graduate,Law,Second,N.A.,Junior Scale,N.A.,Cadre (AIS),Personnel Mgmt,Personnel and General Administration,1981-1-1,1983-1-7
RJ024500,Shri Tola Ram,Indian Administrative Services,Rajasthan,1983,1954-20-8,1983-07-01,Direct Recruitment,Male,Rajasthan,Hindi,English,True,Retired voluntarily,Supremo,Graduate,Physics,Third,S D O,Junior Scale,N.A.,Cadre (AIS),Sub Divisional Admn,Land Revenue Mgmt & District Admn,1985-1-8,1986-1-12
AM018808,Shri S Dam,Indian Administrative Services,Assam Meghalya,1983,1936-1-3,1983-07-01,By Promotion from State Civil Service,Male,Assam,Bengali,Assamese English,True,Superannuated,Supremo,Graduate,English Lit,Ordinary,Deputy Secretary,Junior Scale,N.A.,Cadre (AIS),Transport,Transport,1977-1-5,1980-1-8
AM018805,Shri Ak Choudhary,Indian Administrative Services,Assam Meghalya,1983,1938-2-2,1983-07-01,By Promotion from State Civil Service,Male,Assam,Bengali,Assamese English,True,Superannuated,Supremo,P.G.,Commerce,Second,Managing Director,Junior Scale,N.A.,Cadre (AIS),Agro Industries,Industries,1981-1-7,1985-1-11
RJ024602,Shri Indu Bhushan,Indian Administrative Services,Rajasthan,1983,1961-6-1,1983-07-01,Direct Recruitment,Male,Uttar Pradesh,Hindi,English,True,Re-Employed,Supremo,Graduate,Electrical Engg.,First,Additional Collector,Junior Scale,N.A.,Cadre (AIS),Agriculture,Agriculture & Cooperation,1987-1-7,1987-1-11
RJ024611,Shri Rm Kothari,Indian Administrative Services,Rajasthan,1983,1937-26-10,1992-05-15,By Promotion from State Civil Service,Male,Rajasthan,Hindi,English Hindi,True,Superannuated,Supremo,N.A.,N.A.,N.A.,Additional Commissioner,Deputy Secretary,N.A.,Cadre (AIS),Revenue,Finance,1992-1-5,1995-31-10
RJ024612,Shri Sri Ram Dixit,Indian Administrative Services,Rajasthan,1983,1937-6-11,1992-05-13,By Promotion from State Civil Service,Male,Rajasthan,Hindi,English Hindi,True,Superannuated,Supremo,N.A.,N.A.,N.A.,Managing Director,Deputy Secretary,Jaipur,Cadre (AIS),Industries,Industries,1992-1-5,1995-30-11
RJ024614,Shri Chaoto Lal Jain,Indian Administrative Services,Rajasthan,1983,1938-10-4,1992-05-13,By Promotion from State Civil Service,Male,Rajasthan,Hindi,English Hindi,True,Superannuated,Supremo,N.A.,N.A.,N.A.,N.A.,Junior Scale,N.A.,Cadre (AIS),N.A.,N.Applicable,1991-1-7,1992-1-6
RJ024615,Shri B Lal Shishoo,Indian Administrative Services,Rajasthan,1983,1938-1-8,1992-05-13,By Promotion from State Civil Service,Male,Rajasthan,Hindi,English Hindi,True,Superannuated,Supremo,N.A.,N.A.,N.A.,Deputy Secretary,Deputy Secretary,N.A.,Cadre (AIS),General Administration,Personnel and General Administration,1992-1-5,1996-31-7
RJ024616,Shri Harash N Sharma,Indian Administrative Services,Rajasthan,1983,1938-9-8,1992-05-13,By Promotion from State Civil Service,Male,Rajasthan,Hindi,English Hindi,True,Superannuated,Supremo,N.A.,N.A.,N.A.,Collector & D M,Deputy Secretary,Rajsamand,Cadre (AIS),District Admn,Land Revenue Mgmt & District Admn,1992-1-5,1996-31-8
RJ024617,Shri Shivnath Singh,Indian Administrative Services,Rajasthan,1983,1938-18-9,1992-05-13,By Promotion from State Civil Service,Male,Rajasthan,Hindi,English Hindi,True,Superannuated,Supremo,N.A.,N.A.,N.A.,Deputy Secretary,Junior Scale,N.A.,Cadre (AIS),Personnel Mgmt,Personnel and General Administration,1992-1-10,1996-30-9
AM018806,Shri Sp Das,Indian Administrative Services,Assam Meghalya,1983,1938-1-6,1983-07-01,By Promotion from State Civil Service,Male,Assam,Assamese,Bengali English,True,Superannuated,Supremo,N.A.,N.A.,N.A.,Deputy Secretary,Junior Scale,N.A.,Cadre (AIS),Civil Supplies,"Consumer Affairs, Food & PD",1979-1-8,1981-1-3
